name,cuisine,description,localAddress,phone,rating
The Hole in The Wall Cafe,American Cafe Fast Food International British    ,"Breakfast & brunch cafe serving authentic continental cuisine - Breakfast, burgers, sandwiches, waffles, pancakes & pasta!","No 4 8'th Main Road, Koramangala 4th Block, 560034",+91 80 4094 9490,4.0
b Cafe,Chinese Indian Cafe Asian     ,,"No 56-6B Palace Road, Lobby Level, 560001",+91 80 4512 6420,5.0
Smoke House Deli Indiranagar,Italian International European Deli Gastropub    ,"Artfully imaginative interiors and delicious European classics await at Smoke House Deli! Craving a delicious family breakfast, an Italian lunch or just a romantic dinner date? then the Deli is the place to be! If you're in the mood for just a simple coffee and croissant, or if you'd like a fancy House Spiced Chicken with a stiff cocktail on the side, drop by the Deli! Get your fix of gourmet pastas, pizzas and burgers at the best European Café in town.","100 Feet Rd, Plot 1209, Ward 72, HAL Second Stage, Indiranagar, 560038",+91 92230 99349,4.0
Biergarten Brewery & Kitchen,Indian Bar Pub      ,,"188, Doddenakundi Industrial Area,, Graphite India Main Road, Doddanekundi,, 560095",+91 80 4965 2776,4.0
Alto Vino,Italian European       ,"Enjoy a taste of Italy in Bangalore at Alto Vino, our authentic trattoria-style Italian restaurant. Reservations are required.","8th Road, Plot No: 75, EPIP Area, Whitefield, Bengaluru Marriott Hotel, 560066",+91 80 4943 5000,5.0
Terracotta,Indian        ,Savour age old dishes of North West Frontier Province or explore the traditional Indian specialties; pair it with our Sommelier recommended pour.,"2nd Floor Whitefield, 560066",+91 89044 89150,4.5
Karavalli @ Taj,Indian Seafood       ,"Karavalli an iconic restaurant located at Vivanta Bengaluru Residency Road. Since inception in 1990, Karavalli has grown to be an institution when it comes to South west coast flavours. Modelled on a traditional Mangalorean bungalow, and surrounded by lush tamarind trees, the restaurant is inspired by the architecture of coastal South India. Ingredients from the coast, such as cloves, cinnamon, pepper, home grown chillies and only the freshest vegetables and finest meats make it to the menu. The chef and team have painstakingly preserved India’s most refined culinary traditions from our rich heritage by restoring age old recipes, decades of researching meeting with locals and recreating forgotten flavours of a glorious bygone era.","66 Residency Rd, The Gateway Hotel, 560025",+91 80666 04519,5.0
"Thyme & Whisk, Electronic City",Italian Mexican Chinese Indian Asian    ,A ultra chic gourmet restaurant with all day dining facility across an extensive menu and beverages / mocktails crafted specially for our guests.,"Second Floor, Skywards Sun Park, Neeladri Rd, opposite Wipro Gate 15,, Karuna Nagar, Electronics City Phase 1, Electronic City, 560100",+91 80886 99722,5.0
Nasi and Mee,Chinese Asian Thai Indonesian Singaporean Malaysian   ,,"No.974, 4th Cross, 80 feet Main Road, 4th Block, Koramangala, 560034",+91 80 4151 3456,4.0
ShakesBierre - Brewpub & Kitchen,Indian Brew Pub Bar International Pub    ,"Bengaluru’s newest Hamlet to Drinketh~Eateth~Meeteth. A Large & Artistic BrewPub+Kitchen, located in the heart of Bengaluru at Brigade Road. Serving 'Global Cuisine' & 'Decadent Drinks' at its multiple seating options of Theatre Floor, RoofTop, SkyDeck, Karaoke Party Rooms, AC Fine Dine & a closed smoking+dining section. Shakesbierre has a vibrant ambience​ that transports you to the era of Shakespeare plays. This is a place where time takes a break from ticking and makes you enjoy a signature cocktail and thin Roman bread. The wide and open space, decor steeped in Victorian subtleties and a menu that could give Hamlet a run for its money when it comes to the sheer depth and length of it, ShakesBierre is midsummer’s night dream come true - for the foodies, drink enthusiasts & partygoers of Bengaluru.","Brigade Road, Level 5, Eva Mall, 560001",+91 97401 70534,4.5
The Pump House,Indian Brew Pub Bar Pub     ,,"#607, 15th Cross, Outer Ring Rd, 1st Phase, JP Nagar, 560078",+91 96061 27666,4.5
Tim Tai,Chinese Asian Thai Burmese Shanghai Central Asian   ,"Located in the hot spot of the city's growing food map, Tim Tai brings to you a fun and unique set of contradictions... right from cuisine to ambiance, you have an option to choose from! Tradition vs Modern, Experience vs Enthusiasm, Old vs New... its all there in a cheerful, airy setting of high ceilings and open kitchen with pops of green everywhere! It’s Tim, the keeper of all tradition, versus Tai, the enforcer of the new. Unlike most battles, theirs' only bring joy and celebration – to your palate. Come join us for a favor trail across Asia!","130, 1st Cross, 5th Block, Near Kotak Mahindra Bank, Koramangala, Koramangala, 560034",+91 72041 98888,4.0
The Rasoiya Street,Indian Asian       ,,"17th Cross Road, 3rd floor, 441 Anantha, 4th sector, HSR Layout, 560102",+91 80 4965 3003,4.0
Onesta,Italian Pizza       ,,"501 Binnamangala Extension C M H Road, Binnamangala Extension, Indira Nagar 1st Stage, 560038",+91 80 6900 0302,4.0
Courtyard Cafe,Italian Mexican American      ,"We are not some fancy place with a 'courtyard' theme - We are an actual courtyard turned into a cafe. We're located right on the main road but pretty well hidden. We're spacious, open, calm and laid back. Music, if at all is mostly retro, some blues and jazz. We're more than just good food and beverage; It's possible to sit back and enjoy a conversation or just be.","105 Old No 68, Opp. Corporation Bank, Shanti Nagar, 560027",+91 80 4012 4484,4.5
Nasi and Mee,Japanese Asian Thai Singaporean Malaysian Shanghai   ,,"Mahadevpura Whitefield, 560045",,4.0
BAREBONES-THE BALCONY BAR,Chinese Pizza Pub      ,"Balcony Bar ,restaurant,pub,grill,chinese,wood Fired Pizza, Burgers,speciality Shots,beer In A Bar,alcohol","303, Indiranagar 100 Feet Road, 560038",+91 91649 91199,4.0
Rajdhani Thali,Indian Asian       ,,"Central Mall, 4th Floor, J.P Nagar, 560078",+91 80 3291 9222,4.0
Salvadores,Italian Mediterranean European Wine Bar     ,"Starched damask, polished silverware, Noritake fine bone china, liveried stewards, International cuisine complimented with fine wines, and an ambiance that takes you back in time. All this plus strict attention to detail, quite simply termed ""Old world style and service"". Salvadores","MG Road, 5th Floor, Bangalore Central Mall, 560025",+91 80 2558 4945,4.5
Paranda,Indian        ,,"2275 Tumkur Road, Taj Vivanta, Yeshwantpur, 560022",+91 80669 00111,4.5
Nagarjuna,Indian Asian       ,,"138 Jyothi Niwas College Road, Koramangala VI Bk, Nova Medical Centre, 560095",+91 80 4099 6000,4.0
Foo Brigade Road,Chinese Bar Sushi Asian     ,"Foo is best described as a chic, friendly and affordable haven, offering an extensive variety of small plates including 100+ Chinese, Japanese and mixed Asian cuisine. Foo brings to diners a vibrant, friendly and quick dining experience that few can boast. This dynamic space showcases Asian history with a modern perspective through classic Asian elements such as sprays of Cherry Blossoms, Sake jar décor, lanterns, etc. A synonym for ‘good luck’, ‘happiness’ or ‘fortune’ in Chinese, Foo definitely brings all this and more to the Garden city!""","Brigade Rd, Ground Floor, Forum Rex Walk, Shanthala Nagar, Ashok Nagar, 560001",+91 93217 07545,4.5
Flechazo,Indian Mediterranean Asian      ,"FLECHAZO (meaning ""Love at first sight"") brings together 02 mighty culinary regions of the world - The Mediterranean and Asian regions. No one celebrates food quite like the hearty, warm, generous people of MediterrAsia. Every occasion is a time to party, and every party is about Food.The portions are generous, the flavours reflect love, hospitality is a way of life and food is a culture...","Sy No. 9/1, 2nd Floor, Vrr Orchid, Above Surya Nissan, Brindavan Extension, Doddanekundi, Mahadevapura, Opposite Rainbow Children Hospital, 560037",+91 99010 26561,4.0
Ramana's,Indian Asian       ,,"No 14 Hm Geneva House Cunningham Road Near Fortis Hospital, 560052",+91 80 2226 3200,4.0
Habibi Falafel,Lebanese Mediterranean Middle Eastern Israeli Arabic    ,"Habibi Falafel, Bangalore - Authentic Middle Eastern Vegetarian Street Food. The only place in Bengaluru to go for fresh, affordable, quick, and healthy Lebanese cuisine. Order falafel sandwiches, hummus, baba ganouj, pita khubz, shawarma pita, pita chips, fattoush salad, fatteh, and more! Treat yourself to Turkish and Arabic sweets like baklava, mamool, and our specialty Eid date cookies.","969 First Block, First Main, Koramangala, 560034",+91 96325 08844,4.5
Anjappar,Indian Asian       ,,"4, 4th Block, 100 Feet Road, Koramangala, 560034",+91 80 2553 4477,4.0
Samskruthi Restaurant,Chinese Indian Cafe      ,"Samskruti- The Restaurant The hotel houses a beautiful multi-cuisine restaurant that operates from 7:30 AM to 10:30 PM. The restaurant has elegant fine-dining ambience and serves exquisite veg delicacies to its guests. Lunch & Dinner A la Carte - Multi cuisine food The hotel also houses two banquet halls -100 to 400 persons hosting all sorts of formal and informal events. Apart from this, the in-house fine dining restaurant serves delicious preparations to its guests. Experience a classy stay at Hotel Sanman Gardenia!","Near Ashoka Pillar Circle , Near Coffeeday ,Jayanagar 2nd Block, Hotel Sanman Gardenia, 560011",+91 96636 84499,3.5
Brahmins Thatte Idly,Indian        ,,"Seshadripuram College Yelahanka New Town, Opposite Canara Bank, Ashwath Nagar, Sanjay Nagar, 560094",+91 99006 44777,4.0
Taawoon Restaurant,Italian Mexican Chinese Indian Seafood Arabic   ,"Welcome to Taawoon, one of Bangalore's newest and biggest multi-cuisine restaurants. Spread across 13,000 square feet, we are inspired by the food we eat and our love for cooking, and driven to offer the same to our patrons. We love putting our own delicious spin on the food that we serve and draw inspiration from the myriad flavors that comprise the big and delicious Indian culinary palette.","K Narayanapura Main Rd, Kothanur, 560077",+91 85999 97711,4.5
"3Bs - Buddies, Bar & Barbecues",Indian Bar Barbecue Asian     ,,"90 - 4 Outer Ring Road, Marathahalli, 560037",+91 88804 22301,4.0
Bakasur,Indian Asian       ,,"Suramy Plaza, 3rd & 4th Floor, Green Glen Layout, Outer Ring Road, Opposite Shobha Hibiscus, Bellandur, 560103",+91 1800 200 4525,3.5
Pebble,Chinese Indian Pizza Seafood Contemporary    ,"Modern Indian Bistro/Club/Pub The Pebble, a legacy property, is situated in the midst of Palace grounds and has been a premium event hub for over two decades. Our signature Banyan tree has been a landmark insignia for the legacy location. Pebble remains the only property in all of palace grounds licensed to serve liquor. With a diverse menu to match they bring rustic and fusion flavours to match every palate. A Place to Dine in with a touch of nature under the Big Banyan Tree. Join us and experience a world Class Sheesha, Food , Drinks & Ambience.","3 Princess Academy, Ramanna Maharishi Road, Palace Grounds, Sadashiv Nagar, 560080",+91 74069 66415,4.0
Alchemy,        ,,"The Chancery Pavilion, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, 560025",+91 80 4141 4000,4.0
Barbeque Nation,Chinese Indian Barbecue Grill Soups    ,,"Dr Raj Kumar Road, GF 18, 19 & 20, West Gate Mall, Golden Heights, Rajajinagar Entrance, 560010",+91 80 6902 8722,3.5
Woodstock Restaurant,Steakhouse        ,,"3337 Domlur Service Road, Near Fire Pro, Indira Nagar, 560038",66389035,4.0
Kava,American Indian European Asian     ,"Kava, our all-day restaurant and coffee shop, showcases delicious Indian and International cuisine, prepared at interactive live stations. Start your day here with our hearty breakfast buffet, or join us in the evening for dinner.","Marathahalli Sarjapur Road, Bellandur, Near RMZ Ecospace, Fairfield by Marriott Bengaluru Outer Ring Road, 560103",+91 8071 203 040,4.0
Sutra,Indian Bar Pub      ,"Enliven your evenings at this award winning, contemporary lounge overlooking the hotel's courtyard. Featuring creative cocktails shaken or stirred by master bartenders, Sutra is perfectly in tune with the vibrant rhythms of Bangalore at night. With its live music, modern dance floor and chic cocktails, Sutra attracts stylish party animals from all over the city. The lounge that sizzles with Bollywood-inspired artwork and design features throughout the week is taken to new heights each Saturday by a celebrity guest DJ. Cuisine: Cocktails & Light Fare Timings: 11:30am - 11:30pm","Kumara Krupa Road, The Lalit Ashok Bangalore, 560001",+91 96869 48500,4.5
Peepai Kitchen & Brewery,Chinese Indian Pizza Fast Food Barbecue    ,"Peepai is the newest addition to Namma Bengaluru’s brew club and it’s located in Hebbal. IIf you’re looking for a stunning, beautiful place to relish delectable cocktails and food, this is the one for you!","3h4v+865, Bellary Rd, Sanjeevini Nagar, Bengaluru, 560024",+91 96327 06699,3.5
Boteco,Brazilian International South American      ,Restaurante Brasileiro,"Ram Kunj, 16/3, Magrath Rd, Ashok Nagar, 560025",+91 87920 45444,4.5
Broadway - The Gourmet Theatre,Japanese Indian Sushi Asian     ,,"27th Main Road, 2802, 4th Floor, HSR Layout, 560102",+91 98458 56677,4.0
Urban Solace,International        ,,"32 Anna Swamy Mudaliar Road, Opposite Ulsoor Lake, Opposite Ulsoor Lake, Between Tamil Sangam and Foto Flash, 560042",+91 80 2555 3656,4.0
3 Monkeys,Bar Pub       ,,"4th Floor Old Madras Road, 560038",+91 80669 09999,4.0
Indigo Live Music Bar,Indian Bar International Pub     ,,"Elite Building 5th Floor 6th Block Jyothi Niwas College Road, 560095",+91 80 2553 5330,4.0
Bamey's Restro Cafe,Chinese Asian Thai Nepali     ,,"A/5, Ground Floor, Khb Colony, 5th Block, 560095",+91 80 4110 2071,4.0
Daily Sushi,Japanese Sushi Asian Korean     ,,"5 9th Main Road, 340th Cqal Layout, 560011",+91 81471 23581,4.5
Here and Now,American Cafe       ,,"28 14th Main Road, 560102",1.08E+11,4.5
Quattro,Italian Mexican       ,"A restaurant that serves quality vegetarian food and goes beyond traditional Indian fare, Quattro Ristorante offers pure vegetarian Italian and Mexican cuisine and a range of desserts that will leave you salivating. Situated in the heart of Bangalore.","18 Richmond Town, Convent Road, Near Residency Road, 560025",+91 98863 92000,5.0
Patios,Indian Asian Vietnamese      ,,"No.805, Ground Floor, 35th Cross Road, 9th Main Rd, 560011",+91 88849 99805,4.0
Go Native,Cafe Contemporary Fusion Soups     ,,"# 12 Sankey Main Rd, Lower Palace Orchards, 560073",,4.0
Upahara Darshini,Indian Fast Food Asian      ,,"25 - 26 22nd Main Road, Airtel Office, Jayangar III Block, 560011",41210637,4.0
"Tasting Room, Bengaluru Oota Company",Indian Asian       ,Bengaluru Oota Company's Tasting Room & Home catering service offer Gowda & Mangalorean cuisine. It's Karnataka on your dining table! The Tasting Room at Cambridge Road is open for Lunch & Dinner through the week. We offer 3-course & 5-course menu options. Prior reservations are required. Call us for more details!,"5 Cambridge Cross Road, Ulsoor, 560008",+91 94483 02628,5.0
Sukh Sagar,Indian        ,,"10 S M Road, Near Kempegowda Complex, Majestic, 560053",+91 80 2220 2555,4.0
Mani's Dum Biryani Indiranagar,Indian        ,,"#474, 10th Main, Jeevan Bhima Nagar Main Road, HAL 3rd Stage, Near Reliance Fresh, Indiranagar, 560075",+91 96064 41693,4.5
KA01 Rooftop Bar and Eats,Indian Bar Fast Food Pub Fusion    ,This rooftop bar & eats is set to take Bangaloreans on a delightful ride with desi infused cocktails and classic street-style food.,"08th Floor, Ibis Bangalore City Centre, Plot No 30, Raja Ram Mohan Roy Road, 560027",+91 77609 11711,4.5
Taste Of Tibet,Chinese Indian Asian Tibetan     ,,"5 Resthouse Road, 560025",+91 80 4147 8237,4.5
Lime Light,Chinese Indian International      ,"Warm, cosy and casual with bright, sunny colours and a fabulous view of the golf course, Lime Light is a 24x7 Café with a relaxed ambience and an internationally inspired menu. It also serves breakfast, lunch and dinner buffet featuring food from around the world.","1, Golf Avenue, (Adjoining KGA Golf Course),, Old Airport Road, 560008",+91 96866 11406,4.0
Mani's Dum Biryani,Indian        ,,"Ground Floor No 15 1'st Main Road, 560034",+91 80 4300 6111,4.0
Tease,Indian Bar Fast Food International Pub    ,Set the pace for an electric night with dramatic views of the hotel’s landscaped garden and city skyline at our semi open-to-sky lounge & bar.,"Itpb, Vivanta by Taj - Whitefield, 560066",+91 80669 33333,4.5
Thyme & Whisk,        ,,"56/1, Sri Krishna Towers, 9th Main Rd, 4th Block, 5th Block, 560041",+91 80 4097 7577,4.0
Samaroh,Indian        ,,"No 7/1 Vittal Mallya Road, 560001",+91 98867 33600,4.5
Peacock,Indian Asian       ,,"No. 57, 1st Floor, 100 Feet Road, Opposite Girias Showroom, Indiranagar, 560038",+91 96863 77667,3.5
Kaapi Katte,Indian Cafe       ,,"No 1160 Jawaharlal Nehru Road, Beml Layout, Rajarajeshwari Nagar, 560072",+91 97390 93222,4.5
Cafe Noir,French Cafe European      ,,"Court Yard Whitefield, 560066",+91 80672 66099,3.5
Via Milano,Italian Pizza International European     ,"With comfortable seating amid a Mediterranean ambience, indulge your senses to fine Italian and European cuisine. Try pizzas freshly baked from our wood-fired oven, or simply unwind with a warm cup of cappuccino while you read out in the open. Tantalize your taste-buds with from our highly inspired pastas and mains.","80 Feet Road, 4th Floor, No. 8, 4th Block Koramangala, 560034",+91 80 4130 9997,4.0
Andhra Kafe,Indian Asian       ,,"202 Itpl Main Road, Opposite Prestige Shantiniketan, New #198, Hoodi Village, 560066",+91 80 2841 0222,3.5
Green Park Restaurant,Asian        ,,"208 Bellary Road, 560064",28566539,4.5
Chichabas Taj,Indian        ,,"50 M M Road, Frazer Town, 560005",+91 80 4161 8888,4.0
IDC Kitchen,Indian        ,,"4 3'rd Cross Road, Near Jain Temple, Gandhi Nagar, 560009",+91 70226 49471,5.0
Jalsa Gold Restaurant,Indian Asian       ,"At Jalsa Gold, we strive to bring the spirit back by opening doors to a whole new experience. The decor is carefully crafted to reflect the celebratory experience of luxury dining. The food is handcrafted by our chef to bring alive global cuisine.","Sarjapur Outer Ring Road, Block 12, Marathahalli, Kaverappa Layout, Kadubeesanahalli, 560103",+91 80 4965 3456,4.0
MARRIOT BONVOI,International Asian       ,,"17c Sadaramangala Road, Aloft Hotel, 560001",+91 80667 07777,4.5
Konark,Indian Asian       ,,"No 50 Field Marshal Cariappa Road, Near Bishop Cotton Girls School, 560025",+91 80 4124 8812,4.0
Khandani Rajdhani,Indian        ,,"Ub City Mall, 209 & 210, Level-2, Vittal Mallya Road, 560001",+91 80 2213 3400,4.5
The Punjabi Rasoi,Indian Asian       ,,"152/1 2'nd Main Road, Near Bda Complex, 560038",+91 80 4128 5353,4.0
Tipsy Bull - The Bar Exchange,Bar Pub       ,,"Bellandur Service Road, 560038",+91 98869 84357,3.5
Big Barrel Microbrewery,Brew Pub Pub       ,"Welcome to Big Barrel Microbrewery, Bangalore's finest brewery near Rajajinagar. As Bangalore's leading brewery, we're more than just a restaurant. We're the ultimate destination to enjoy amazing flavors and joyous moments with family and friends. We take pride in crafting the finest, most flavorsome beers that will tantalize your taste buds and our team of passionate brewers creates an impressive array of handcrafted beers, each sip an adventure. We extend beyond exceptional brews to offer you a culinary experience at Big Barrel: Experience a diverse menu of unique, mouthwatering dishes, thoughtfully curated by our talented chefs. There is something for everyone when it comes to fusion delights and traditional favorites with a contemporary twist. Whether you are a connoisseur or a beer enthusiast, we have something unique to entice your palate. Cheers to unforgettable beer and cherished moments at Bangalores best brewery!","199/20/1/A Rr Nagar 3rd Floor 2nd Main Road Dr Vishnuvardhan Rd, 560060",063664 66444,5.0
Nagarjuna Chimney,Indian        ,,"55 22nd Cross Road, 560011",+91 80 2664 9944,4.0
Cafe Mozaic,Indian Cafe International Asian     ,,"41 Mahatma Gandhi Road, Vivanta By Taj, 560001",+91 80666 04444,4.0
La Tapenade Mediterranean Cafe,Mediterranean        ,,"Kempegowda International Airport, 562300",,4.0
Galito's,African Arabic       ,,"172/1, Bannerghatta Road, Vegacity Mall, Unit Restaurant 2, 3rd Floor, Srinivas Industrial Estate, 560076",+91 80 3351 2981,4.5
Oia,Indian International Pub Gastropub     ,,"Hennur Main road, New Airport Road, Opp Mantri Webcity, 560077",+91 96060 31145,3.0
Meghana Foods,Indian Asian       ,,"# 52 33rd Cross, Near Cafe Coffee Day, 560011",+91 80 2244 8080,4.0
Earth Kitchen,Indian Mediterranean Middle Eastern      ,"Earth Kitchen, a homestay in Bangalore - set amidst a young forest on a farm - welcomes its guests with the warmth of a home, the comfort of a resort and cuisine at par with the best boutique restaurants.","Nrityagram Road, Near Taj Kuteeram, Behind Taj Kuteeram, Hessarghatta, 560088",+91 99166 68738,4.5
Imperial Restaurant,Indian Asian       ,,"No 94 - 95 Residency Road, Opposite Bharat Petrol Bunk, 560025",+91 80 2591 3738,4.0
Galito's Flame Grilled Chicken,African Portuguese       ,"Galito's is the best tasting flame grilled chicken in the world, with massive flavour right through. Our traditional marinade is made from all natural ingredients infused with select herbs and spices. Slowly marinated for at least 24 hours, flame grilled to perfection and served to order, making it the healthiest, tastiest flame grilled chicken in town.","120, Ground Floor, EPIP Zone, ITPL Main Road, Whitefield, Near BMTC Bus Depot, 560066",+91 80 4641 1411,4.5
Sri Saravana Bhavan,        ,,"89, Ebrahim Sahib Street, Near Corporation Bank, Shivaji Nagar, 560051",+91 80 2559 1665,4.5
Golden Oak,Italian Chinese Indian Asian     ,,"1 14th Cross, La Marvella Hotel, 560011",+91 80 4333 5333,4.0
Saga,Indian International Asian      ,Indian & continental - Food is very good. Good service. Decor... acceptable. 30 minutes to Bangalore airport. It is also a good budgetary hotel.,"Hebbal, Bellary Road,",,4.0
Ithaca,Indian        ,"Pavilion’s gourmet experiences is Ithaca, the all-day dining restaurant. Parisian street café meets fine dining chic at Ithaca. The restaurant is constantly abuzz with diners looking for a bite of global and Mediterranean cuisine.","135 Residency Road, The Chancery Pavilion, 560025",+91 80 4141 4212,4.5
Hotel Aditya,        ,,"159 Opposite Nandini Theater, 6th Main Rd, Mahalakshmi Puram, Bovipalya, Nagapura, Bengaluru, Karnataka, 560086",+91 97310 15011,4.5
Au Bon Pain,Cafe        ,,"970 12th Main, HAL 2nd stage, Near South Indian Bank, Indiranagar, 560038",+91 80 6547 5313,3.5
Pasta Street,Italian Pizza European Wine Bar     ,"Pasta Street offers mouth watering dishes of flavor-packed Pastas, Thin crust pizzas, Soups, Salads and other Italian specials such as, Lasagna, Risotto, Ravioli, Grilled Chicken, Fish & Paneer and scrumptious Desserts. Enjoy the ambiance with cocktails, mocktails or peruse the wine bar stocked with a wide range of domestic and imported wines.","37/2 Chicago Avenue, 37/2 Cunnigham Road, Chicago Avenue, 560052",+91 80 4097 6578,4.5
Banjara Melting Pot,Indian Asian Healthy      ,"Banjara Melting Pot is the fusion of two cordon bleu brands belonging to two equally vibrant cities – Mumbai and Bengaluru. Select a pan-aromatic Asian menu, an essential ingredient in all sections of the culinary world.Choose between an elaborate multi cuisine full course paired by international wine and the best of single malts. Browse, touch and select your fare right till the exact spice and flavor of your choice, pioneered by our online iPad menu.","G 117/118 Point Building Ground Floor Cunningham Road, Diagonally Opposite Whitefield Honda Showroom, 560052",+91 80 4123 1772,4.5
Spice It Restaurant,Indian International Asian      ,,"Hotel Ibis Techpark, Outer Ring Road, Bellandur, Opposite Intel Campus, 560060",+91 80667 00600,4.0
Biergarten,        ,,"4th B Cross, Koramangala 5th Block, 560095",+91 80 4965 3208,4.5
Kobe Sizzlers,International        ,,"McGrath Road, Garuda Mall, 5th Floor, 560025",+91 80 6560 0872,3.5
Bangalore Brew Works,Bar Pub       ,,"Residency Road _ 10th Level Prestige Towers, 99/100, Residency Road, Rooftop",+91 97407 04422,4.0
Chulha Chowki Da Dhaba,Chinese Indian Asian      ,This is near to the 24th Main of J P Nagar.,"No 13 7th Cross, Opposite RV Dental College, 560078",+91 80 3232 7799,4.0
Restaurant Chef Pillai,Indian Asian       ,"Restaurant Chef Pillai is the maiden restaurant of Chef Pillai in Whitefield, Bangalore. We present Chef Pillai Signature dishes like Fish Nirvana, Nikkah Biriyani as well as unique starters, mains and desserts all with the special Chef Pillai flavours. These unique flavours and tastes are created from authentic, seasonal & handpicked ingredients, sourced from their original territories. From seafood to red chilies, every item is selected with the highest scrutiny. It is all these ingredients that go into the specialized cooking process to end up as the delicious, cuisine on your plate. We are on a mission to give you original ingredients, cooked with traditional expertise and modern methods that finally creates a dish of satisfying flavours. Like we say ‘Crabs from Ashtamudi, Nikkah Biriyani from Malabar, Nirvana fish from Kerala, and fans from all over the world!’. We let the flavours of food do the talking.","E1/94, Opp.Phoenix Market, Mahadevapura, Whitefield Main Road, 560048",+91 89431 50000,3.0
Art Blend Cafe,Italian American Indian Cafe     ,"Art Blend - Coffee with a Hobby aspires to create a space for artists as well as those with an artistic germ, coffee lovers or lovers of conversation.Its the ideal place for meeting up with friends, spending quality time with those you love, learning a new craft, painting with some caffeine kick, or simply to dig into that book you have been wanting to finish from a long time...","659 24th Main, 2nd Sector, Near Parangi Palya Bus Stop, HSR Club Road, HSR Layout, 560102",+91 98867 82062,3.5
The Tao Terraces,Chinese Asian Thai Shanghai Hong Kong    ,,"5th Floor, 1 MG Mall, Opposite Vivanta by Taj, MG Road",+91 98866 40445,3.5
Vaathsalya Millet Cafe,Indian Cafe Healthy      ,,"No 277 Outer Ring Road, Near ICICI Bank, 560078",+91 94490 64494,4.0
Lakshmi Natraja Refreshments,Indian Fast Food       ,,"126 Akkipete Main Road, Near Union Bank of India, 560053",+91 80 2597 0312,4.5
Nevermind Bar & Social,Indian Bar Mediterranean Asian Contemporary    ,"An eclectic, high energy Bar & Restaurant in the heart of Indiranagar serving Pan - Asian, Continental & Modern Indian cuisine along with Experimental Cocktails.","12th Main Rd, HAL 2nd Stage, No.614, 615, 560008",+91 91108 41695,5.0
Bombay Curry House,Italian Indian European Asian     ,Multi Cuisine Vegetarian Restaurant With Fine Ambience,"No. 12, Ground Floor, Embassy Manyata Tech Park, NXT Tower 2, Outer Ring Road, Nagawara, B.B.M.P. North, 560045",+91 91139 82902,5.0
Hunan,Chinese Asian Thai Szechuan Shanghai Hong Kong   ,,"Samruddhi Building 10 Above Reliance Fresh 1st Floor 1'st Main Road New Bel Road, Opposite California Pizza Kitchen, 5th Block, Koramangala, 560095",+91 80 2341 3337,4.0
Boho,Bar Pub       ,,"105, 1st Main, KHB Colony, Jyothi Nivas College Road, Koramangala 5th Block, 560079",+91 80 4965 3033,3.5
Nandi Grand Restaurant,Indian Asian       ,,"Kolar Road, Dasarahalli Post, Kasaba Hobli, 562114",,4.0
Shangrila,Chinese Thai       ,,"181, Near 5th Avenue Mall, Brigade Road, 560025",+91 80 2558 8994,4.5
House of Commons,Indian Bar Pub      ,"House Of Commons is Bangalore's newest watering hole. At the HOC we're all equals, one and the same - united by our quest for good food and drink!","122/B, Jyothi Nivas Road, 5th Block, Kormangala, 560079",+91 80 4512 8604,4.0
Hangover Lounge,Indian Bar Asian Pub     ,,"#1080 12th Main, HAL 2nd Stage, Indiranagar, 560038",+91 98862 00070,4.0
Spiceklub,Indian Fusion Street Food      ,"Spiceklub aims at creating a fusion indian taste with blend of new technology of gastronomy. The menu has several innovative items in the mocktails, desserts and main course. Thedishes are served in an extra ordinary fashion that involves testtubes syringes beakers dry ice and other unusual vessels.","18 Convent Rd, 560025",+91 98863 91000,5.0
Panchavati Gaurav,Indian Asian       ,,"5th Floor Brigade Road, 560025",+91 80 4141 0033,4.0
Aioli BBQ & Grill,Bar Mediterranean Barbecue European Pub Fusion   ,Best of Mediterranean Fusion cuisine. Dishes served are freash and cooked over charcoal and Oak wood fire,"Jinvara 306/69, 4hg8+vp5,  Avalahalli, Yelahanka,, 560064",+91 96064 53929,4.0
Sunny's Restaurant,Italian European       ,,"Embassy Diamante 34 Vittal Mallya Road, Opposite Canara Bank, 560001",+91 80 2224 3642,4.0
Bowring Institute,Chinese Indian Bar Asian Pub    ,,"St marks Road, 560001",22273728,3.5
"Cafe Capriccio,Old Madras Road",Italian Steakhouse Bar Pizza Seafood Pub   ,"Capriccio Italian Restaurant is a new concept by the founders of 46 Ounces Brewgarden that offers creative Italian cuisine, crafted with an emphasis on traditional flavors and modern cooking techniques to bring the best of Italian cuisine to Bangalore!","RMZ Infinity, Old Madras Rd, Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka, 560016",+91 96202 78894,5.0
Mtr 1924,Indian Asian       ,,"Namma Metro Pillar 62, 100 Feet Road, Indiranagar, 560038",+91 80 4169 0688,4.0
Tunday Kababi,Indian Asian       ,,"275, Opposite E-Zone, 100 Feet Road, Indiranagar, 560038",+91 80 4965 3318,4.0
Hotel Annapoorna Restaurant,        ,,"6th Cross, Gandhinagar, Majestic Area",+91 80 2291 2755,4.5
Cable Car,Indian        ,,"Marenahalli Road, SFO Hotel & Suites, 560041",,3.5
Hotel Fish Land Restaurant,Seafood        ,,"1'st Main Road, 1st Floor, Sujatha Complex, 560009",+91 80 2291 2173,4.5
